,QRef,Mean,Min,Max,Count,Avg
3932,304ARTQ3,0.9052287581699346,0,1,306,0.9052287581699346
3933,304ARTQ4,0.8235294117647058,0,1,306,0.8235294117647058
3934,304ARTQ5,0.33986928104575165,0,1,306,0.33986928104575165
3935,304ARTQ6,0.8856209150326797,0,1,306,0.8856209150326797
3936,304ARTQ7,0.6535947712418301,0,1,306,0.6535947712418301
3937,304ARTQ8,0.9215686274509803,0,1,306,0.9215686274509803
3938,304ARTQ9,0.7287581699346405,0,1,306,0.7287581699346405
3939,304FILQ1,0.7933130699088146,0,1,329,0.7933130699088146
3940,304FILQ10,0.8239700374531835,0,1,267,0.8239700374531835
3941,304FILQ2,0.5503355704697986,0,1,298,0.5503355704697986
3942,304FILQ3,0.3825503355704698,0,1,298,0.3825503355704698
3943,304FILQ4,0.3691275167785235,0,1,298,0.3691275167785235
3944,304FILQ5,0.4395973154362416,0,1,298,0.4395973154362416
3945,304FILQ6,0.697986577181208,0,1,298,0.697986577181208
3946,304FILQ7,0.6845637583892618,0,1,298,0.6845637583892618
3947,304FILQ8,0.7281879194630873,0,1,298,0.7281879194630873
3948,304FILQ9,0.5805369127516778,0,1,298,0.5805369127516778
3949,304GRAQ1,0.7939698492462312,0,1,398,0.7939698492462312
3950,304GRAQ10,0.8840579710144928,0,1,276,0.8840579710144928
3951,304GRAQ2,0.9287833827893175,0,1,337,0.9287833827893175
3952,304GRAQ3,0.9317507418397626,0,2,337,0.4658753709198813
3953,304GRAQ4,0.9228486646884273,0,1,337,0.9228486646884273
3954,304GRAQ5,0.7626112759643917,0,2,337,0.38130563798219586
3955,304GRAQ6,0.27299703264094954,0,2,337,0.13649851632047477
3956,304GRAQ7,0.27596439169139464,0,1,337,0.27596439169139464
3957,304GRAQ8,0.6913946587537092,0,1,337,0.6913946587537092
3958,304GRAQ9,0.8189910979228486,0,1,337,0.8189910979228486
3959,304MUSQ1,0.5879120879120879,0,1,364,0.5879120879120879
3960,304MUSQ10,0.5833333333333334,0,1,288,0.5833333333333334
3961,304MUSQ2,0.6779141104294478,0,1,326,0.6779141104294478
3962,304MUSQ3,0.7944785276073619,0,1,326,0.7944785276073619
3963,304MUSQ4,0.46319018404907975,0,1,326,0.46319018404907975
3964,304MUSQ5,0.6779141104294478,0,1,326,0.6779141104294478
3965,304MUSQ6,0.5460122699386503,0,1,326,0.5460122699386503
3966,304MUSQ7,0.8251533742331288,0,1,326,0.8251533742331288
3967,304MUSQ8,0.7392638036809815,0,2,326,0.3696319018404908
3968,304MUSQ9,0.5429447852760736,0,1,326,0.5429447852760736
3969,304SCIQ1,0.6806930693069307,0,1,404,0.6806930693069307
3970,304SCIQ10,0.7152777777777778,0,1,288,0.7152777777777778
3971,304SCIQ2,0.6098265895953757,0,1,346,0.6098265895953757
3972,304SCIQ3,0.37572254335260113,0,1,346,0.37572254335260113
3973,304SCIQ4,0.9248554913294798,0,1,346,0.9248554913294798
3974,304SCIQ5,0.5664739884393064,0,1,346,0.5664739884393064
3975,304SCIQ6,0.7658959537572254,0,1,346,0.7658959537572254
3976,304SCIQ7,0.8728323699421965,0,1,346,0.8728323699421965
3977,304SCIQ8,0.3670520231213873,0,1,346,0.3670520231213873
3978,304SCIQ9,1.4277456647398843,0,2,346,0.7138728323699421
3979,305FILQ1,0.6762177650429799,0,1,349,0.6762177650429799
3980,305FILQ10,0.53156146179402,0,1,301,0.53156146179402
3981,305FILQ2,0.556923076923077,0,2,325,0.2784615384615385
3982,305FILQ3,0.35384615384615387,0,1,325,0.35384615384615387
3983,305FILQ4,0.4369230769230769,0,1,325,0.4369230769230769
3984,305FILQ5,0.5353846153846153,0,1,325,0.5353846153846153
3985,305FILQ6,0.3384615384615385,0,1,325,0.3384615384615385
3986,305FILQ7,0.5353846153846153,0,1,325,0.5353846153846153
3987,305FILQ8,0.8461538461538461,0,1,325,0.8461538461538461
3988,305FILQ9,0.4276923076923077,0,1,325,0.4276923076923077
3989,305GEOQ1,0.44352617079889806,0,1,363,0.44352617079889806
3990,305GEOQ10,0.48788927335640137,0,1,289,0.48788927335640137
3991,305GEOQ2,0.843558282208589,0,1,326,0.843558282208589
3992,305GEOQ3,0.843558282208589,0,1,326,0.843558282208589
3993,305GEOQ4,0.7484662576687117,0,1,326,0.7484662576687117
3994,305GEOQ5,0.7024539877300614,0,1,326,0.7024539877300614
3995,305GEOQ6,0.7484662576687117,0,1,326,0.7484662576687117
3996,305GEOQ7,1.5368098159509203,0,2,326,0.7684049079754601
3997,305GEOQ8,0.40797546012269936,0,1,326,0.40797546012269936
3998,305GEOQ9,0.7177914110429447,0,1,326,0.7177914110429447
3999,305GRAQ1,0.5617433414043583,0,1,413,0.5617433414043583
4000,305GRAQ10,0.7318611987381703,0,1,317,0.7318611987381703
4001,305GRAQ2,0.32602739726027397,0,3,365,0.108675799086758
4002,305GRAQ3,0.810958904109589,0,1,365,0.810958904109589
4003,305GRAQ4,1.252054794520548,0,2,365,0.626027397260274
4004,305GRAQ5,0.47802197802197804,0,1,364,0.47802197802197804
4005,305GRAQ6,0.3598901098901099,0,1,364,0.3598901098901099
4006,305GRAQ7,0.7315068493150685,0,1,365,0.7315068493150685
4007,305GRAQ8,0.5726027397260274,0,1,365,0.5726027397260274
4008,305GRAQ9,0.8351648351648352,0,1,364,0.8351648351648352
4009,305MUSQ1,0.5419354838709678,0,1,310,0.5419354838709678
4010,305MUSQ10,0.8615384615384616,0,1,260,0.8615384615384616
4011,305MUSQ2,0.5228070175438596,0,1,285,0.5228070175438596
4012,305MUSQ3,0.7228070175438597,0,1,285,0.7228070175438597
4013,305MUSQ4,0.5719298245614035,0,1,285,0.5719298245614035
4014,305MUSQ5,0.3087719298245614,0,1,285,0.3087719298245614
4015,305MUSQ6,0.6350877192982456,0,1,285,0.6350877192982456
4016,305MUSQ7,0.624561403508772,0,1,285,0.624561403508772
4017,305MUSQ8,0.4982456140350877,0,1,285,0.4982456140350877
4018,305MUSQ9,0.8807017543859649,0,1,285,0.8807017543859649
4019,305SPOQ1,0.38461538461538464,0,1,286,0.38461538461538464
4020,305SPOQ10,0.42727272727272725,0,1,220,0.42727272727272725
4021,305SPOQ2,0.8458498023715415,0,2,253,0.42292490118577075
4022,305SPOQ3,0.6758893280632411,0,1,253,0.6758893280632411
4023,305SPOQ4,0.16996047430830039,0,1,253,0.16996047430830039
4024,305SPOQ5,0.5968379446640316,0,1,253,0.5968379446640316
4025,305SPOQ6,0.541501976284585,0,1,253,0.541501976284585
4026,305SPOQ7,0.8537549407114624,0,1,253,0.8537549407114624
4027,305SPOQ8,0.782608695652174,0,1,253,0.782608695652174
4028,305SPOQ9,0.4901185770750988,0,1,253,0.4901185770750988
4029,306ARTQ1,0.8768768768768769,0,1,333,0.8768768768768769
4030,306ARTQ10,0.6047430830039525,0,3,253,0.20158102766798416
4031,306ARTQ2,0.78839590443686,0,1,293,0.78839590443686
4032,306ARTQ3,0.7610921501706485,0,1,293,0.7610921501706485
4033,306ARTQ4,0.7201365187713311,0,1,293,0.7201365187713311
4034,306ARTQ5,0.4232081911262799,0,1,293,0.4232081911262799
4035,306ARTQ6,0.8191126279863481,0,1,293,0.8191126279863481
